,Title,Response,Error,OMDB_Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,totalSeasons,DVD,BoxOffice,Production,Website
38,Django Unchained,True,N/A,N/A,2012,R,25 Dec 2012,165 min,"Drama, Western",Quentin Tarantino,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio","With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.","English, German, French, Italian",United States,Won 2 Oscars. 58 wins & 158 nominations total,https://m.media-amazon.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '86%'}, {'Source': 'Metacritic', 'Value': '81/100'}]",81,8.4,"1,490,532",tt1853728,movie,N/A,16 Apr 2013,"$162,805,434",N/A,N/A
39,"Coronavirus, Explained",True,N/A,N/A,2020,TV-PG,26 Apr 2020,69 min,Documentary,N/A,N/A,"J.K. Simmons, Idris Elba, Laura Linney","In 2020, the world changed. This topical series examines the coronavirus pandemic, the efforts to combat it and ways to manage its mental health toll.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BYmM2NTMyZTctODdlMi00MjhlLThiY2EtZTlhNDVjYzk1NGVhXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,"2,219",tt12189310,series,1,N/A,N/A,N/A,N/A
40,The Last Kingdom,True,N/A,N/A,2015–2022,TV-MA,10 Oct 2015,60 min,"Action, Drama, History",N/A,N/A,"Alexander Dreymon, Eliza Butterworth, Arnas Fedaravicius","As Alfred the Great defends his kingdom from Norse invaders, Uhtred--born a Saxon but raised by Vikings--seeks to claim his ancestral birthright.","English, Latin",United Kingdom,4 nominations,https://m.media-amazon.com/images/M/MV5BMjE1MzYzNjk3OF5BMl5BanBnXkFtZTgwMzk0MzYwNzE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.5/10'}]",N/A,8.5,"124,684",tt4179452,series,5,N/A,N/A,N/A,N/A
41,Never Have I Ever,True,N/A,N/A,2020–2023,TV-14,27 Apr 2020,30 min,"Comedy, Drama",N/A,"Lang Fisher, Mindy Kaling","Maitreyi Ramakrishnan, Poorna Jagannathan, Darren Barnet","The complicated life of a modern-day first generation Indian American teenage girl, inspired by Mindy Kaling's own childhood.",English,United States,4 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BYTFlYWRhYjEtNDU3MC00ZTRiLTlmY2MtNGViODJlNDczNTA4XkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.9/10'}]",N/A,7.9,"44,926",tt10062292,series,2,N/A,N/A,N/A,N/A
42,Murder to Mercy: The Cyntoi…,False,Movie not found!,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
43,Dangerous Lies,True,N/A,N/A,2020,TV-14,30 Apr 2020,96 min,Thriller,Michael M. Scott,David Golden,"Nick Purcha, Joe Costa, Camila Mendes","When a wealthy elderly man dies and unexpectedly leaves his estate to his new caregiver, she's drawn into a web of deception and murder. If she's going to survive, she'll have to question everyone's motives - even the people she love",English,United States,2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BMDRjMmUzMTEtMWJiMC00MDUwLWExOGQtNDU2ZTU0Y2RmY2YzXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '51/100'}]",51,5.3,"16,711",tt10183816,movie,N/A,01 May 2020,N/A,N/A,N/A
44,All Day and a Night,True,N/A,N/A,2020,R,01 May 2020,121 min,Drama,Joe Robert Cole,Joe Robert Cole,"Ashton Sanders, Jeffrey Wright, Isaiah John",A young man who committed a homicide deals with the repercussions of his action.,English,United States,2 nominations,https://m.media-amazon.com/images/M/MV5BNjBlNGNjOWUtOWE3NC00OTU3LTk2ZmQtZTIyYjc0NDgwMjM1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '54%'}, {'Source': 'Metacritic', 'Value': '60/100'}]",60,5.9,"3,659",tt3993886,movie,N/A,02 May 2020,N/A,N/A,N/A
45,Hollywood,True,N/A,N/A,2020,TV-MA,01 May 2020,347 min,Drama,N/A,"Ian Brennan, Ryan Murphy","David Corenswet, Darren Criss, Laura Harrier",A group of aspiring actors and filmmakers in post-World War II Hollywood try to make it big - no matter the cost.,English,United States,Won 2 Primetime Emmys. 5 wins & 51 nominations total,https://m.media-amazon.com/images/M/MV5BODc5ZDZmNTEtZDJjZC00ZmMzLWJlZWQtOWNiODI5YjE0YzBmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.5/10'}]",N/A,7.5,"35,317",tt9827854,series,1,N/A,N/A,N/A,N/A
46,Den of Thieves,True,N/A,N/A,2018,R,19 Jan 2018,140 min,"Action, Crime, Drama",Christian Gudegast,"Christian Gudegast, Paul T. Scheuring","Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr.",An elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew clash as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.,"English, Polynesian, Spanish",United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMzYyODcwMDAyM15BMl5BanBnXkFtZTgwOTA4MjIwNDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '42%'}, {'Source': 'Metacritic', 'Value': '49/100'}]",49,7.0,"107,281",tt1259528,movie,N/A,25 Mar 2018,"$44,947,622",N/A,N/A
47,The Half of It,True,N/A,N/A,2020,PG-13,01 May 2020,104 min,"Comedy, Drama, Romance",Alice Wu,Alice Wu,"Leah Lewis, Daniel Diemer, Alexxis Lemire","When smart but cash-strapped teen Ellie Chu agrees to write a love letter for a jock, she doesn't expect to become his friend - or fall for his crush.","Spanish, English, Mandarin, French, Hindi",United States,3 wins & 10 nominations,https://m.media-amazon.com/images/M/MV5BY2RlZmZkOTUtMDI5Ni00ZjZmLWI1OTItZmUwNWE4ZWVjNzFiXkEyXkFqcGdeQXVyMTkzODUwNzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '74/100'}]",74,6.9,"35,284",tt9683478,movie,N/A,02 May 2020,N/A,N/A,N/A
48,Arctic Dogs,True,N/A,N/A,2019,PG,01 Nov 2019,92 min,"Animation, Adventure, Comedy",Aaron Woodley,"Bob Barlen, Cal Brunker, Matthew Lyon","Jeremy Renner, Heidi Klum, James Franco","An Arctic fox works in the mailroom of a package delivery service, but wants to be doing the deliveries.","English, Korean","United Kingdom, Canada, South Korea, United States",1 nomination,https://m.media-amazon.com/images/M/MV5BNTY1OTQyM2YtM2ZjOC00OWQwLTkzM2YtZjAyOGZkYjlhNWFhXkEyXkFqcGdeQXVyMTk5MzE1MTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '12%'}, {'Source': 'Metacritic', 'Value': '28/100'}]",28,4.7,"1,904",tt4426464,movie,N/A,26 Jan 2020,"$5,801,249",N/A,N/A
49,Jerry Seinfeld: 23 Hours to Kill,True,N/A,N/A,2020,TV-PG,05 May 2020,60 min,Comedy,"Joe DeMaio, Steven Rimdzius",Jerry Seinfeld,Jerry Seinfeld,"Comedian Jerry Seinfeld performs at the Beacon Theatre in New York City with his take on everyday life, uncovering comedy in the commonplace.",English,United States,Nominated for 1 Primetime Emmy. 1 win & 1 nomination total,https://m.media-amazon.com/images/M/MV5BMjVjZmM3NjMtNTkyYS00MzBlLTlkMTgtZmI4NzdkZGQ2MjM2XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '76%'}]",N/A,6.7,"5,043",tt12117854,movie,N/A,05 May 2020,N/A,N/A,N/A
50,Becoming,True,N/A,N/A,2020,PG,06 May 2020,89 min,"Documentary, Biography",Nadia Hallgren,N/A,"Elizabeth Alexander, Adrian K. Collins, Valerie Jarrett","Join former first lady Michelle Obama in an intimate documentary looking at her life, hopes and connection with others during her 2019 book tour for 'Becoming.'",English,United States,Nominated for 4 Primetime Emmys. 1 win & 6 nominations total,https://m.media-amazon.com/images/M/MV5BZjU4ZGMyM2QtZjIzNy00NWU5LTlkNjUtNjc3MjJhZmQyZjZiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Metacritic', 'Value': '66/100'}]",66,6.8,"6,306",tt12221748,movie,N/A,N/A,N/A,N/A,N/A
51,Workinâ Moms,False,Movie not found!,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
52,Dead to Me,True,N/A,N/A,2019–2022,TV-MA,03 May 2019,30 min,"Comedy, Crime, Drama",N/A,Liz Feldman,"Luke Roessler, Christina Applegate, Linda Cardellini",A series about a powerful friendship that blossoms between a tightly wound widow and a free spirit with a shocking secret.,English,United States,Nominated for 5 Primetime Emmys. 3 wins & 49 nominations total,https://m.media-amazon.com/images/M/MV5BNTcyOTA3ZWUtOWEwMy00YjI5LWIyNjctNTAyYjI5ZmE0NGI4XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.0/10'}]",N/A,8.0,"72,596",tt8064302,series,2,N/A,N/A,N/A,N/A
53,Sleepless,True,N/A,N/A,2017,R,13 Jan 2017,95 min,"Action, Crime, Thriller",Baran bo Odar,"Andrea Berloff, Frédéric Jardin, Nicolas Saada","Jamie Foxx, Michelle Monaghan, Dermot Mulroney",A cop with a connection to the criminal underworld scours a nightclub in search of his kidnapped son.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BNjEwMDAyOTM4OV5BMl5BanBnXkFtZTgwMzc4MjMyMDI@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '34/100'}]",34,5.6,"32,039",tt2072233,movie,N/A,18 Apr 2017,"$20,783,704",N/A,N/A
54,John Henry,True,N/A,N/A,2020,R,24 Jan 2020,91 min,"Drama, Thriller",Will Forbes,"Will Forbes, Doug Skinner","Terry Crews, Jamila Velazquez, Ludacris","When two immigrant kids on the run from his former South Los Angeles gang leader stumble into his life, John is forced to reconcile with his past in order to try and give them a future.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BNDc4MDYzNzktNmU5MC00NDNhLWEyODQtM2UxZGVkMzY0Y2RkXkEyXkFqcGdeQXVyNzE5ODk1NDM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '3.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '0%'}, {'Source': 'Metacritic', 'Value': '27/100'}]",27,3.6,"2,332",tt8170298,movie,N/A,24 Jan 2020,N/A,N/A,N/A
55,Greyâs Anatomy,False,Movie not found!,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
56,Have a Good Trip: Adventure…,False,Movie not found!,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
57,Trial by Media,True,N/A,N/A,2020–,TV-MA,11 May 2020,N/A,"Documentary, Crime",N/A,N/A,"Al Sharpton, Curtis Sliwa, Patti Blagojevich","In our modern media landscape where real courtroom dramas have increasingly been transformed into a form of entertainment, this series reflects on some of the most dramatic and memorable trials in recent history.",English,United States,N/A,https://m.media-amazon.com/images/M/MV5BMTA4MjQ1YmMtN2YxOC00YTc2LWI2MTEtZDhiYzc2N2M0ZDhkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"3,075",tt11963042,series,1,N/A,N/A,N/A,N/A
58,House at the End of the Street,True,N/A,N/A,2012,PG-13,21 Sep 2012,101 min,"Drama, Horror, Thriller",Mark Tonderai,"David Loucka, Jonathan Mostow","Jennifer Lawrence, Elisabeth Shue, Max Thieriot","After moving with her mother to a small town, a teenager finds that an accident happened in the house at the end of the street. Things get more complicated when she befriends a boy. A double murder is not an accident.",English,"United States, Canada",1 win & 3 nominations,https://m.media-amazon.com/images/M/MV5BMjIxNTUwNTU4N15BMl5BanBnXkFtZTcwNTE0MTI3Nw@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '13%'}, {'Source': 'Metacritic', 'Value': '31/100'}]",31,5.5,"76,518",tt1582507,movie,N/A,08 Jan 2013,"$31,611,916",N/A,N/A
59,The Wrong Missy,True,N/A,N/A,2020,TV-MA,13 May 2020,90 min,"Comedy, Romance",Tyler Spindel,"Chris Pappas, Kevin Barnett","David Spade, Lauren Lapkus, Nick Swardson","Tim thinks he's invited the woman of his dreams on a work retreat to Hawaii, realizing too late he mistakenly texted someone from a nightmare blind date.",English,United States,5 nominations,https://m.media-amazon.com/images/M/MV5BY2QwZWJlZjMtNzU5NC00NTA0LWI1MjQtYWQ1ZTg4NWZmNjdkXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.7/10'}, {'Source': 'Rotten Tomatoes', 'Value': '33%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33,5.7,"38,535",tt9619798,movie,N/A,19 May 2020,N/A,N/A,N/A
60,Riverdale,True,N/A,N/A,2017–,TV-14,26 Jan 2017,45 min,"Crime, Drama, Mystery",N/A,Roberto Aguirre-Sacasa,"Lili Reinhart, Camila Mendes, Cole Sprouse","While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries.",English,United States,35 wins & 57 nominations,https://m.media-amazon.com/images/M/MV5BMzcyOTFiNDYtNDZlMC00NzkxLTk5MTItZWJmMzdmZDNiN2JkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,"138,829",tt5420376,series,6,N/A,N/A,N/A,N/A
61,White Lines,True,N/A,N/A,2020,TV-MA,15 May 2020,60 min,"Crime, Drama, Mystery",N/A,Álex Pina,"Laura Haddock, Nuno Lopes, Marta Milans","A woman tries to solve the mysterious death of her brother, a famous DJ who disappeared from Ibiza many years ago.","English, Spanish","United Kingdom, Spain",4 nominations,https://m.media-amazon.com/images/M/MV5BMDA1MjMyOTItZDdiZS00MjFhLThmYTYtNWI4YTE4MzJiMWRiXkEyXkFqcGdeQXVyMjUxMTY3ODM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.6/10'}]",N/A,6.6,"16,685",tt9073958,series,1,N/A,N/A,N/A,N/A
62,Public Enemies,True,N/A,N/A,2009,R,01 Jul 2009,140 min,"Action, Biography, Crime",Michael Mann,"Ronan Bennett, Michael Mann, Ann Biderman","Christian Bale, Johnny Depp, Christian Stolte","The Feds try to take down notorious American gangsters John Dillinger, Baby Face Nelson and Pretty Boy Floyd during a booming crime wave in the 1930s.",English,"United States, Japan",1 win & 14 nominations,https://m.media-amazon.com/images/M/MV5BMGI4YTIxMDQtNDlmNC00ZDJhLWIyZGItM2QyODRiMTEzN2ViXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '68%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,7.0,"296,600",tt1152836,movie,N/A,08 Dec 2009,"$97,104,620",N/A,N/A
63,Magic for Humans,True,N/A,N/A,2018–,TV-PG,17 Aug 2018,23 min,"Comedy, Reality-TV",N/A,Justin Willman,"Justin Willman, Jillian Sipkins, Mateo Ray Garcia",Justin Willman performs magic tricks on the street.,English,United States,1 nomination,https://m.media-amazon.com/images/M/MV5BMzc4Y2JlYWEtMmE4MS00Yjk5LThjYjYtNDRiN2FlMTAwOWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"3,318",tt8425308,series,3,N/A,N/A,N/A,N/A
64,Soul Surfer,True,N/A,N/A,2011,PG,08 Apr 2011,112 min,"Biography, Drama, Family",Sean McNamara,"Sean McNamara, Deborah Schwartz, Douglas Schwartz","AnnaSophia Robb, Dennis Quaid, Helen Hunt",Teenage surfer Bethany Hamilton overcomes the odds and her own fears of returning to the water after losing her left arm in a shark attack.,English,United States,2 wins & 12 nominations,https://m.media-amazon.com/images/M/MV5BMTU2MDg0OTYyM15BMl5BanBnXkFtZTcwMjg5MjY0NA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '46%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",53,7.0,"48,941",tt1596346,movie,N/A,02 Aug 2011,"$43,853,424",N/A,N/A
65,Avatar: The Last Airbender,True,N/A,N/A,2005–2008,TV-Y7-FV,21 Feb 2005,23 min,"Animation, Action, Adventure",N/A,"Michael Dante DiMartino, Bryan Konietzko","Dee Bradley Baker, Zach Tyler Eisen, Mae Whitman","In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",English,United States,Won 1 Primetime Emmy. 9 wins & 6 nominations total,https://m.media-amazon.com/images/M/MV5BODc5YTBhMTItMjhkNi00ZTIxLWI0YjAtNTZmOTY0YjRlZGQ0XkEyXkFqcGdeQXVyODUwNjEzMzg@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '9.3/10'}]",N/A,9.3,"296,288",tt0417299,series,3,N/A,N/A,N/A,N/A
66,Sweet Magnolias,True,N/A,N/A,2020–,TV-14,19 May 2020,N/A,"Drama, Romance",N/A,Sheryl J. Anderson,"JoAnna Garcia Swisher, Brooke Elliott, Heather Headley","Three South Carolina women, best friends since high school, shepherd one another through the complexities of romance, career, and family.",English,United States,1 win,https://m.media-amazon.com/images/M/MV5BZjBmNTI2ZDEtOThhMy00OTkyLTg5Y2ItMTUxMzU4NWI1MzhhXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",N/A,7.3,"17,412",tt9077540,series,2,N/A,N/A,N/A,N/A
67,The Flash,True,N/A,N/A,2014–,TV-PG,07 Oct 2014,43 min,"Action, Adventure, Drama",N/A,"Greg Berlanti, Geoff Johns, Andrew Kreisberg","Grant Gustin, Candice Patton, Danielle Panabaker","After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, fighting crime in Central City.",English,United States,Nominated for 1 Primetime Emmy. 29 wins & 91 nominations total,https://m.media-amazon.com/images/M/MV5BMDIzNzYwNTctZWY4Mi00YjQ2LWI5YWYtMzdmNDgwMGI4Yzk1XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}]",N/A,7.6,"336,186",tt3107288,series,8,N/A,N/A,N/A,N/A
68,The Lovebirds,True,N/A,N/A,2020,R,22 May 2020,86 min,"Action, Comedy, Crime",Michael Showalter,"Aaron Abrams, Brendan Gall, Martin Gero","Issa Rae, Kumail Nanjiani, Paul Sparks",A couple (Issa Rae and Kumail Nanjiani) experiences a defining moment in their relationship when they are unintentionally embroiled in a murder mystery.,English,United States,2 wins & 3 nominations,https://m.media-amazon.com/images/M/MV5BNzU1ZTE4YzAtOWNkYi00YWE4LThmY2YtMDNlYzU2ZTgxYTc2XkEyXkFqcGdeQXVyODQzNTE3ODc@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '59/100'}]",59,6.0,"25,489",tt8851668,movie,N/A,23 May 2020,N/A,N/A,N/A
69,Just Go with It,True,N/A,N/A,2011,PG-13,11 Feb 2011,117 min,"Comedy, Romance",Dennis Dugan,"Allan Loeb, Timothy Dowling, I.A.L. Diamond","Adam Sandler, Jennifer Aniston, Brooklyn Decker","On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend.",English,United States,5 wins & 13 nominations,https://m.media-amazon.com/images/M/MV5BMTM3MzM3NDE5MV5BMl5BanBnXkFtZTcwNDE5MTUxNA@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '19%'}, {'Source': 'Metacritic', 'Value': '33/100'}]",33,6.4,"238,848",tt1564367,movie,N/A,07 Jun 2011,"$103,028,109",N/A,N/A
70,History 101,True,N/A,N/A,2020–,TV-PG,22 May 2020,22 min,"Documentary, History",N/A,N/A,"Frankie Corzo, Natalie Silverman",It is a new type of history show for a new type of audience: Big History delivered in an unadulterated hit of premium archive and jaw-dropping infographics.,English,United Kingdom,N/A,https://m.media-amazon.com/images/M/MV5BMWM0ZTc1MmYtYmRiMi00MDcxLWI4N2EtNTk3ZDk0Y2YyZmQxXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}]",N/A,6.8,"4,027",tt11958648,series,1,N/A,N/A,N/A,N/A
71,Uncut Gems,True,N/A,N/A,2019,R,25 Dec 2019,135 min,"Crime, Drama, Thriller","Benny Safdie, Josh Safdie","Ronald Bronstein, Josh Safdie, Benny Safdie","Adam Sandler, Julia Fox, Idina Menzel","With his debts mounting and angry collectors closing in, a fast-talking New York City jeweler risks everything in hope of staying afloat and alive.","English, Hebrew",United States,27 wins & 94 nominations,https://m.media-amazon.com/images/M/MV5BZDhkMjUyYjItYWVkYi00YTM5LWE4MGEtY2FlMjA3OThlYmZhXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '92%'}, {'Source': 'Metacritic', 'Value': '91/100'}]",91,7.4,"265,262",tt5727208,movie,N/A,13 Dec 2019,"$50,023,780",N/A,N/A
72,Jeffrey Epstein: Filthy Rich,True,N/A,N/A,2020,TV-MA,27 May 2020,227 min,"Documentary, Crime",N/A,N/A,"Michael Reiter, Annie Farmer, Shawna Rivera","Survivors worldwide reveal the manipulation, abuse and emotional scars suffered at the hands of wealthy convicted pedophile Jeffrey Epstein. Their stories expose a sex trafficking ring of powerful enablers leading up to his 2019 arre",English,United States,2 wins & 1 nomination,https://m.media-amazon.com/images/M/MV5BYjk4YTEzMTYtZTUxYS00YTdlLTliZGMtYjRmMTYxMjQ0MDY2XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}]",N/A,7.1,"23,180",tt12312250,series,1,N/A,N/A,N/A,N/A
73,Space Force,True,N/A,N/A,2020–,TV-MA,29 May 2020,30 min,Comedy,N/A,"Steve Carell, Greg Daniels","Steve Carell, John Malkovich, Ben Schwartz",The people tasked with creating a sixth branch of the armed services: The Space Force.,English,United States,Nominated for 4 Primetime Emmys. 8 nominations total,https://m.media-amazon.com/images/M/MV5BZTFiNjdjZTEtZWMwNy00NGQ5LWE4ZWQtZjI2YTI3MzMwMGIyXkEyXkFqcGdeQXVyNTA3MTU2MjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.7/10'}]",N/A,6.7,"61,309",tt9612516,series,2,N/A,N/A,N/A,N/A
